incident_name,incident_is_final,incident_date_last_update,incident_date_created,incident_administrative_unit,incident_county,incident_location,incident_acres_burned,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created,is_active,calfire_incident,notification_desired
Adams Fire,FALSE,2020-08-17T11:05:08Z,2020-07-27T09:35:49Z,USFS Plumas National Forest,Lassen,"Scott Rd and Highway 395, south of Doyle",,USFS Plumas National Forest,-120.025872,39.922415,,,7/27/20,N,FALSE,FALSE
Ridge Fire,TRUE,2020-07-30T19:44:55Z,2020-07-27T17:19:21Z,Los Angeles County Fire Department,Los Angeles,Old Ridge Route Rd in the community of Quail Lake,321,Los Angeles County Fire Department,-118.72004,34.75844,2020-07-30T19:43:00Z,7/30/20,7/27/20,N,FALSE,FALSE
Lincoln Fire,TRUE,2020-08-03T09:44:30Z,2020-07-27T18:50:25Z,Samoa Fire Protection District,Humboldt,"Bendixsen Street and Simpson Private Road, Samoa",25,Samoa Fire Protection District,-124.19954,40.78804,2020-07-31T09:44:00Z,7/31/20,7/27/20,N,FALSE,FALSE
Border 11 Fire,TRUE,2020-07-29T19:00:39Z,2020-07-28T07:49:02Z,CAL FIRE/San Diego County Fire,San Diego,"Marron Valley Rd and Border Rd, Marron Valley",100,,-116.77048,32.62212,,,7/28/20,N,TRUE,FALSE
Branch Fire,TRUE,2020-08-01T19:47:20Z,2020-07-28T14:59:38Z,CAL FIRE San Luis Obispo Unit,San Luis Obispo,"Hwy 58 and Soda Lake Rd, California Valley",3022,,-120.00521,35.35146,2020-08-01T19:45:00Z,8/1/20,7/28/20,N,TRUE,FALSE
Brook Fire,TRUE,2020-08-01T07:08:05Z,2020-07-29T17:24:17Z,San Bernardino National Forest,San Bernardino,Keenbrook Rd and Cajon Blvd,185,,-117.45479,34.25143,2020-08-01T07:07:00Z,8/1/20,7/29/20,N,FALSE,FALSE
Clay Fire,TRUE,2020-07-30T07:35:09Z,2020-07-29T18:05:20Z,CAL FIRE Amador-El Dorado Unit,Sacramento,Clay Station Road and Momtoma Lane,730,,-121.17197,38.40329,2020-07-30T07:27:00Z,7/30/20,7/29/20,N,TRUE,FALSE
Rabbit Fire,TRUE,2020-07-31T09:04:37Z,2020-07-30T14:40:11Z,CAL FIRE Riverside County Unit,Riverside,Hwy 60 and Jack Rabbit Trail,104,,-117.034461,33.934137,2020-07-31T09:03:00Z,7/31/20,7/30/20,N,TRUE,FALSE
Dam Fire,TRUE,2020-11-10T14:26:48Z,2020-07-30T15:23:01Z,Angeles National Forest,Los Angeles,San Gabriel Canyon Rd and Silverfish Rd Morris Reservoir,220,Angeles National Forest,-117.889503,34.17363,2020-08-14T14:26:00Z,8/14/20,7/30/20,N,FALSE,FALSE
Sheep Fire,TRUE,2020-08-01T09:00:00Z,2020-07-30T16:14:47Z,CAL FIRE/ Kern County Fire Department,Kern,"Comanche Point Rd, south east of Bakersfield ",233,,-118.7933,35.14357,2020-07-31T08:56:00Z,7/31/20,7/30/20,N,FALSE,FALSE
