incident_county,incident_acres_burned,incident_cooperating_agencies,fire_started,fire_extinguished,days_of_fire
Shasta,32416.0,"CAL FIRE / USFS - Lassen National Forest, Shasta County Fire, Burney Fire District, BLM, Shasta County Sheriff's Office, CHP, CDCR, PG&E, Sierra Pacific Industries, W. Beatty Co. Georgia Forestry Commission, Louisiana Office of Forestry",2014-07-31,2014-08-25,25.0
Shasta,6258.0,US Forest Service - Shasta Trinity National Forest,2014-07-30,2014-11-14,107.0
Siskiyou,5503.0,CAL FIRE Siskiyou Unit / USFS-Klamath National Forest,2014-07-31,2014-08-18,18.0
Shasta,25.0,CAL FIRE Shasta-Trinity Unit,2014-08-29,2014-08-29,0.0
Madera,10.0,USFS - Sierra National Forest,2014-08-26,2014-12-12,108.0
Madera,612.0,"CAL FIRE Madera-Mariposa-Merced Unit, Madera County Sheriff, Madera County Fire Department, CAL OES, Sierra National Forest, California Department of Corrections and Rehabilitation, CHP, Red Cross, CCC, Madera County OES, Hillview Water  Company, and Sierra Telephone.",2014-08-18,2014-08-25,7.0
Modoc,101.0,US Forest Service - Modoc National Forest ,2014-08-12,2014-08-13,1.0
Siskiyou,0.0,US Forest Service - Klamath National Forest,2014-08-11,2014-08-14,3.0
San Diego,20.0,CAL FIRE San Diego Unit,2014-08-16,2014-08-17,1.0
Los Angeles,190.0,US Forest Service - Angeles National Forest,2014-08-14,2014-12-12,120.0
Los Angeles,274.0,US Forest Service - Angeles National Forest,2014-08-17,2014-12-12,117.0
Nevada,84.0,US Forest Service - Tahoe National Forest,2014-08-18,2014-08-19,1.0
Kern,4045.0,Kern County Fire / Sequoia National Forest ,2014-08-18,2014-08-27,9.0
Trinity,580.0,"CAL FIRE Shasta-Trinity Unit, Shasta Co. FD, USFS, Weaverville FD, CHP, Trinity Co. Sheriff's Office, Cal OES, CDC, PG&E, Cal Trans, Junction City FPD, Post Mountain FPD, Douglas City FPD, Trinity Center FPD, Sierra Pacific Industries",2014-08-24,2014-08-28,4.0
Shasta,1375.0,"CAL FIRE Shasta-Trinity Unit, Shasta County Fire Department, Shasta County Sherriff’s Office, Cal Trans, United States Forest Service, Redding Fire Department, CAL-OES, PG&E, California Department of Corrections and Rehabilitation",2014-09-10,2014-09-16,6.0
Tuolumne,70.0,CAL FIRE Tuolumne Caleveras Unit,2014-09-04,2014-09-05,1.0
Humboldt,210.0,Six Rivers National Forest,2014-09-12,2014-09-15,3.0
Napa,27.0,CAL FIRE Sonoma-Lake-Napa Unit,2014-09-11,2014-09-15,4.0
Mariposa,311.0,Yosemite National Park,2014-10-07,2014-10-12,5.0
El Dorado,97717.0,"CAL FIRE / USFS - El Dorado National Forest, CHP, Red Cross, Cal OES, El Dorado Irrigation District, Sacramento Municipal Utility District, Sierra Pacific Industries, PG&E, Placer County Water Agency, Placer County Sheriffs, California Conservation Corps and El Dorado County Animal Services.",2014-09-13,2014-10-09,26.0
Siskiyou,200.0,Shasta-Trinity National Forest,2015-02-24,2015-03-02,6.0
Orange,968.0,US Forest Service - Cleveland National Forest,2014-09-12,2014-09-22,10.0
Nevada,247.0,CAL FIRE Nevada-Yuba-Placer Unit,2014-09-13,2014-09-18,5.0
Madera,320.0,CAL FIRE Madera-Mariposa-Merced Unit,2014-09-14,2014-09-22,8.0
Siskiyou,516.0,"CAL FIRE Siskiyou Unit, CHP, CAL TRANS, Pacific Power and Light, Weed City PD, Yreka PD, Mt. Shasta PD, Siskiyou County Sheriff, California Department of Corrections and Rehabilitation, California Conservation Corps, and CAL OES, United Way, and the American Red Cross.",2014-09-15,2014-10-11,26.0
San Bernardino,48.0,CAL FIRE San Bernardino Unit / Chino Valley Fire District,2014-10-16,2014-10-17,1.0
El Dorado,94.0,US Forest Service - El Dorado National Forest,2014-09-14,2014-09-17,3.0
El Dorado,20.0,US Forest Service - Lake Tahoe Basin Management Unit,2014-09-25,2014-09-25,0.0
San Diego,80.0,CAL FIRE San Diego Unit / Chula Vista Fire Department,2015-06-26,2015-06-26,0.0
Plumas,137.0,**This was NOT a CAL FIRE Incident. Click this link for more information from the US Forest Service  ,2015-04-13,2015-04-18,5.0
Riverside,1049.0,"CAL FIRE/Riverside County Fire, City of Corona Fire, American Red Cross, CAL FIRE/Riverside, CAL FIRE/San Bernardino, CAL FIRE/San Diego, CalEMA, Chino Valley Independent Fire District, City of Corona FD, Orange County Fire Authority, Pechanga FD, Riverside City FD, Riverside County Fire Department, Riverside County Sheriff’s Office, CHP, Riverside Co. Animal Control.",2015-04-18,2015-04-24,6.0
Merced,275.0,CAL FIRE Madera-Mariposa-Merced Unit,2015-05-11,2015-05-11,0.0
