incident_county,incident_acres_burned,incident_cooperating_agencies,fire_started,fire_extinguished,days_of_fire
Tulare,120.0,CAL FIRE Tulare Unit,2018-10-24,2019-01-04,72.0
Butte,550.0,CAL FIRE Butte Unit/Butte County Fire Department,2018-10-30,2019-01-04,66.0
Santa Cruz,17.0,"CAL FIRE San Mateo - Santa Cruz Unit, California Department of Parks and Recreation, Santa Cruz County Sherrif’s Office, Santa Cruz Fire Department, Central Santa Cruz Fire District, Aptos-La Selva Fire District, Felton Fire District, Zayante Fire District, Branzaforte Fire District, Scotts Valley Fire District, Santa Cruz County Fire Department, California Highway Patrol, California Department of Corrections and Rehabilitation.",2018-11-03,2019-01-04,62.0
Mendocino,35.0,CAL FIRE Mendocino Unit,2018-11-08,2019-01-04,57.0
Butte,153336.0,"Unified Command: CAL FIRE, Butte County Sheriff Department, Paradise Police Department, USFS, California Department of Transportation, California Department of Corrections and Rehabilitation, California Highway Patrol, California Office of Emergency Services, National Weather Service, California Conservation Corps, Butte County, City of Chico",2018-11-08,2018-11-25,17.0
Tehama,60.0,CAL FIRE Tehama - Glenn Unit,2018-11-05,2019-01-04,60.0
Lassen,88.0,CAL FIRE Lassen - Modoc Unit,2018-11-08,2019-01-04,57.0
Solano,1500.0,Suisun City Fire Protection District,2018-11-08,2019-01-04,57.0
Ventura,4531.0,"Unified Command: CAL FIRE, Ventura County Fire, Ventura Sheriff Dept, LA County Fire, LA City Fire, LA Sherriff Dept, LA Police Dept, California Highway Patrol, Cal Trans, Southern California Edison, Southern California Gas Company, Camrosa Water District",2018-11-08,2019-01-04,57.0
"Los Angeles, Ventura",96949.0,"Ventura County Fire Dept. and Los Angeles County Fire Dept., Southern California Edison, Southern California Gas Company, California Department of Corrections and Rehabilitation (CDCR), California Conservation Corps (CCC), California Department of Fish & Game, California Highway Patrol, Public Health Department, California State Parks, Caltrans, Ventura County Animal Control, LA County Animal Control, Office of Emergency Management, American Red Cross, Los Angeles Police Department, Los Angeles City Fire Department",2018-11-08,2019-01-04,57.0
Humboldt,30.0,CAL FIRE Humbolt-Del Norte Unit,2019-01-01,2019-01-15,14.0
Butte,0.0,CAL FIRE Butte Unit,2018-11-29,2019-01-04,36.0
Contra Costa,20.0,CAL FIRE Santa Clara Unit,2018-11-15,2019-01-04,50.0
Humboldt,10.0,CAL FIRE Humboldt - Del Norte Unit,2018-11-12,2019-01-04,53.0
San Bernardino,147.0,Rialto Fire Department,2018-11-13,2019-01-04,52.0
Alameda,20.0,CAL FIRE Santa Clara Unit,2018-11-14,2019-01-04,51.0
Ventura,150.0,Ventura County Fire Department,2018-11-15,2019-01-04,50.0
Ventura,186.0,Ventura County Fire Department,2018-11-12,2019-01-04,53.0
Santa Cruz,10.0,CAL FIRE San Mateo-Santa Cruz Unit,2018-11-16,2019-01-04,49.0
Yuba,80.0,,2019-06-25,2019-06-25,0.0
Kings,161.0,Fresno-Kings County,2019-04-28,2019-06-24,57.0
Butte,10.0,CAL FIRE / Butte County Fire,2019-04-30,2019-05-08,8.0
Kern,115.0,Kern County Fire Department,2019-04-30,2019-05-08,8.0
Butte,50.0,"CAL FIRE Butte Unit, California Conservation Corps",2019-05-01,2019-05-08,7.0
Kern,172.0,Kern County Fire,2019-05-03,2019-05-08,5.0
Kern,2500.0,Kern County Fire and the US Fish and Wildlife Service,2019-05-07,2019-05-09,2.0
Placer,65.0,US Forest Service - Tahoe National Forest,2019-05-10,2019-05-24,14.0
San Diego,22.0,CAL FIRE/San Diego County Fire,2019-05-13,2019-05-19,6.0
Riverside,130.0,CAL FIRE/Riverside County Fire Department,2019-05-18,2019-05-24,6.0
Tehama,63.0,CAL FIRE Tehama-Glenn Unit,2019-05-20,2019-05-24,4.0
Riverside,26.0,CAL FIRE / Riverside County Fire,2019-05-20,2019-05-24,4.0
San Luis Obispo,835.0,CAL FIRE San Luis Obispo Unit,2019-05-29,2019-06-03,5.0
Fresno,121.0,CAL FIRE / Fresno County Fire,2019-05-29,2019-06-05,7.0
Riverside,45.0,CAL FIRE/ Riverside County Fire,2019-05-30,2019-06-03,4.0
Santa Clara,144.0,CAL FIRE Santa Clara Unit,2019-05-30,2019-06-11,12.0
Riverside,55.0,Bureau of Indian Affairs,2019-05-29,2019-06-24,26.0
Tulare,155.0,CAL FIRE Tulare Unit,2019-06-01,2019-06-11,10.0
Tulare,257.0,CAL FIRE Tulare Unit,2019-06-02,2019-06-11,9.0
Tulare,33.0,CAL FIRE Tulare Unit,2019-06-03,2019-06-04,1.0
Tulare,25.0,CAL FIRE Tulare Unit,2019-06-03,2019-06-11,8.0
San Luis Obispo,1127.0,CAL FIRE San Luis Obispo Unit,2019-06-05,2019-06-11,6.0
Contra Costa,23.0,CAL FIRE Santa Clara Unit,2019-06-06,2019-06-11,5.0
Solano,24.0,City of Fairfield,2019-06-07,2019-06-17,10.0
Placer,27.0,CAL FIRE Nevada-Yuba-Placer Unit ,2019-06-07,2019-06-11,4.0
Stanislaus,600.0,CAL FIRE Santa Clara Unit,2019-06-07,2019-06-11,4.0
Yuba,70.0,City of Marysville,2019-06-08,2019-06-17,9.0
Yolo,2512.0,"CAL FIRE Sonoma-Lake-Napa Unit, CAL FIRE, Cal OES, Yolo County Sheriff, CHP, NBIMT and multiple local government  fire agencies.",2019-06-08,2019-06-17,9.0
Napa,50.0,CAL FIRE Sonoma-Lake-Napa Unit,2019-06-08,2019-06-17,9.0
Sutter,1350.0,Sutter County Fire Department,2019-06-08,2019-06-17,9.0
San Luis Obispo,1764.0,CAL FIRE San Luis Obispo County ,2019-06-12,2019-06-24,12.0
Santa Clara,210.0,CAL FIRE Santa Clara Unit,2019-06-09,2019-06-11,2.0
Santa Clara,35.0,CAL FIRE Santa Clara Unit,2019-06-10,2019-06-17,7.0
Monterey,43.0,CAL FIRE San Benito - Monterey Unit,2019-06-12,2019-06-17,5.0
Tulare,47.0,CAL FIRE Tulare Unit ,2019-06-10,2019-06-11,1.0
San Luis Obispo,120.0,CAL FIRE San Luis Obispo Unit,2019-06-10,2019-06-11,1.0
San Diego,15.0,CAL FIRE / San Diego County Fire,2019-06-10,2019-06-24,14.0
Butte,17.0,CAL FIRE Chico Butte Unit,2019-06-15,2019-06-24,9.0
Siskiyou,17.0,CAL FIRE Siskiyou,2019-06-14,2019-06-17,3.0
Siskiyou,10.0,CAL FIRE Siskiyou Unit,2019-06-16,2019-06-21,5.0
San Diego,120.0,"Camp Pendleton, Camp Pendleton Fire, US Forest Service, North County Fire, Oceanside Fire",2019-06-20,2019-06-21,1.0
Siskiyou,207.0,USFS Klamath National Forest,2019-06-17,2019-06-24,7.0
Riverside,525.0,CAL FIRE/Riverside County Fire Department,2019-06-21,2019-06-24,3.0
Alameda,30.0,Alameda County Fire,2019-06-21,2019-06-24,3.0
Tehama,46.0,CAL FIRE Tehama - Glenn Unit,2019-06-22,2019-06-24,2.0
Yuba,80.0,CAL FIRE Nevada-Yuba-Placer Unit,2019-06-24,2019-06-24,0.0
Stanislaus,2422.0,,2019-06-26,2019-06-27,1.0
Monterey,2546.0,,2019-06-26,2019-06-26,0.0
Shasta,90.0,,2019-06-26,2019-06-26,0.0
Santa Clara,17.0,CAL FIRE Santa Clara Unit,2019-06-26,2019-06-27,1.0
Placer,148.0,,2019-06-26,2019-06-27,1.0
Riverside,20.0,,2019-06-27,2019-06-27,0.0
Nevada,2.0,,2019-06-28,2019-06-28,0.0
San Diego,28.0,,2019-06-29,2019-06-30,1.0
Riverside,214.0,"Bureau of Land Management , CAL FIRE / Riverside County Fire",2019-06-29,2019-06-30,1.0
Merced,210.0,,2019-06-29,2019-07-02,3.0
Butte,12.0,,2019-06-29,2019-06-29,0.0
Santa Clara,74.0,,2019-07-02,2019-07-02,0.0
San Joaquin,283.0,,2019-07-03,2019-07-05,2.0
Alameda,25.0,,2019-07-05,2019-07-05,0.0
Contra Costa,24.0,,2019-07-05,2019-07-05,0.0
Shasta,30.0,,2019-07-05,2019-07-06,1.0
Lassen,263.0,Susanville Bureau of Land Management,2019-07-05,2019-07-06,1.0
Yuba,38.0,,2019-07-06,,
Mariposa,244.0,,2019-07-08,,
San Luis Obispo,974.0,,2019-07-08,2019-07-09,1.0
Monterey,190.0,,2019-07-09,2019-07-10,1.0
Riverside,20.0,CAL FIRE Riverside County Fire Department ,2019-07-11,2019-07-11,0.0
San Diego,100.0,,2019-07-12,2019-07-15,3.0
Riverside,80.0,,2019-07-12,2019-07-17,5.0
Alameda,22.0,Alameda County ,2019-07-12,2019-07-12,0.0
Shasta,30.0,,2019-07-12,,
Riverside,96.0,,2019-07-13,2019-07-13,0.0
State of Nevada,1165.0,Truckee Meadows Fire Protection District,2019-07-13,2019-07-16,3.0
Lassen,193.0,BLM Northern CA District,2019-07-14,2019-07-16,2.0
Ventura,131.0,Ventura County Fire Department ,2019-07-14,2019-07-15,1.0
Stanislaus,202.0,,2019-07-15,2019-07-16,1.0
Santa Clara,47.0,,2019-07-15,2019-07-15,0.0
Madera,213.0,,2019-07-15,2019-07-16,1.0
Riverside,81.0,CAL FIRE / Riverside County Fire,2019-07-16,2019-07-17,1.0
San Joaquin,90.0,,2019-07-16,,
Modoc,128.0,Modoc National Forest,2019-07-17,2019-07-20,3.0
San Diego,25.0,,2019-07-17,2019-07-18,1.0
Stanislaus,35.0,,2019-07-18,2019-07-18,0.0
Calaveras,27.0,,2019-07-18,2019-07-20,2.0
Mariposa,149.0,,2019-07-21,,
Kern,208.0,,2019-07-21,,
Napa,64.0,Napa County Sheriff Department,2019-07-22,,
San Bernardino,81.0,,2019-07-22,,
Butte,10.0,,2019-07-23,,
Solano,183.0,,2019-07-24,,
Santa Clara,80.0,,2019-07-24,,
San Luis Obispo,95.0,,2019-07-24,,
Siskiyou,83.0,Klamath National Forest,2019-07-27,,
Siskiyou,35.0,Klamath National Forest,2019-07-27,,
Mendocino,130.0,,2019-07-27,,
San Bernardino,156.0,,2019-07-28,,
Modoc,14217.0,Modoc National Forest,2019-07-28,2019-08-11,14.0
San Diego,150.0,,2019-07-28,,
Santa Barbara,100.0,Los Padres National Forest,2019-07-28,2019-08-05,8.0
Monterey,316.0,,2019-07-29,,
Monterey,280.0,Los Padres National Forest,2019-07-30,2019-08-12,13.0
El Dorado,13.0,,2019-07-30,2019-07-31,1.0
Kern,448.0,Kern County Fire Department ,2019-07-31,,
San Diego,448.0,City of San Diego Fire-Rescue,2019-08-01,2019-08-03,2.0
Sacramento,84.0,,2019-08-02,2019-08-02,0.0
Sacramento,50.0,,2019-08-02,2019-08-02,0.0
Modoc,103.0,,2019-08-02,2019-08-02,0.0
Contra Costa,757.0,,2019-08-03,2019-08-06,3.0
Los Angeles,156.0,Angeles National Forest,2019-08-03,2019-08-05,2.0
San Bernardino,26.0,,2019-08-03,2019-08-04,1.0
Shasta,30.0,,2019-08-04,,
Kern,29.0,Kern County Fire Department ,2019-08-05,2019-08-06,1.0
Riverside,94.0,Riverside County Fire Department ,2019-08-05,2019-08-06,1.0
Contra Costa,58.0,East Contra Costa Fire Protection District,2019-08-07,,
Lassen,130.0,BLM Northern California District,2019-08-07,,
Lassen,107.0,Lassen National Forest,2019-08-07,,
Lake,20.0,,2019-08-08,2019-08-11,3.0
Tuolumne,21.0,,2019-08-08,2019-08-08,0.0
Lassen,1020.0,"USFS Lassen National Forest, BLM Northern California District - Susanville",2019-08-08,2019-08-11,3.0
Alameda,240.0,Alameda County Fire,2019-08-09,,
State of Oregon,1301.0,Southwest Oregon District - Oregon Department of Forestry,2019-08-09,2019-08-18,9.0
Yolo,33.0,,2019-08-10,2019-08-10,0.0
Riverside,20.0,CAL FIRE / Riverside County Fire,2019-08-12,2019-08-12,0.0
Shasta,46.0,CAL FIRE Shasta-Trinity Unit,2019-08-12,2019-08-13,1.0
Mendocino,225.0,"Hopland Fire, Mendocino County Sheriffs Department (Evacuation Information)",2019-08-12,2019-08-17,5.0
Los Angeles,105.0,Los Angeles County Fire Department ,2019-08-13,,
Solano,81.0,,2019-08-13,2019-08-13,0.0
El Dorado,16.0,,2019-08-14,2019-08-14,0.0
Colusa,20.0,,2019-08-14,2019-08-14,0.0
Santa Clara,60.0,,2019-08-15,,
Shasta,156.0,,2019-08-15,2019-08-17,2.0
Mariposa,423.0,,2019-08-15,,
San Diego,80.0,,2019-08-15,2019-08-16,1.0
El Dorado,35.0,,2019-08-15,2019-08-16,1.0
Mexico,1507.0,,2019-08-16,2019-08-17,1.0
Mariposa,1300.0,,2019-08-16,,
Alameda,139.0,,2019-08-21,2019-08-21,0.0
Shasta,600.0,Shasta County Sheriff's Office,2019-08-22,2019-08-26,4.0
Riverside,34.0,,2019-08-22,2019-08-23,1.0
Lassen,131.0,Bureau of Land Management,2019-08-24,2019-08-27,3.0
Lassen,2438.0,Bureau of Land Management,2019-08-24,2019-08-27,3.0
Riverside,80.0,,2019-08-25,2019-08-25,0.0
Santa Clara,35.0,,2019-08-25,,
"Mexico, San Diego",25.0,,2019-08-25,2019-08-28,3.0
Riverside,12.0,,2019-08-27,2019-08-27,0.0
Lassen,3380.0,Bureau of Land Management ,2019-08-28,2019-09-04,7.0
Alameda,19.0,,2019-08-31,2019-08-31,0.0
Tulare,756.0,,2019-08-31,,
Monterey,66.0,,2019-09-01,2019-09-02,1.0
Ventura,279.0,Los Padres National Forest,2019-09-01,2019-09-05,4.0
Alameda,11.0,,2019-09-02,2019-09-02,0.0
San Benito,167.0,,2019-09-02,2019-09-03,1.0
San Bernardino,15.0,,2019-09-02,2019-09-06,4.0
El Dorado,85.0,El Dorado County Sheriff's Office,2019-09-03,2019-09-06,3.0
Santa Cruz,10.0,,2019-09-03,2019-09-06,3.0
Plumas,54612.0,USFS - Plumas National Forest,2019-09-04,,
Riverside,1926.0,"CAL FIRE / Riverside County Fire, City of Murrieta ",2019-09-04,2019-09-14,10.0
Lake,28.0,,2019-09-04,2019-09-05,1.0
San Benito,17.0,,2019-09-04,2019-09-04,0.0
Tehama,8838.0,Tehama County Sheriff's Office,2019-09-05,2019-09-13,8.0
San Joaquin,44.0,,2019-09-05,2019-09-05,0.0
Trinity,244.0,Mendocino National Forest,2019-09-05,2019-09-18,13.0
Tehama,5332.0,Shasta-Trinity National Forest ,2019-09-05,2019-12-02,88.0
Mono,4840.0,Inyo National Forest,2019-09-06,,
Modoc,5737.0,USFS - Modoc National Forest,2019-09-06,2019-09-13,7.0
Inyo,1975.0,Inyo National Forest ,2019-09-06,2019-11-21,76.0
Tulare,381.0,Sequoia National Forest,2019-09-06,,
Inyo,10296.0,"Inyo National Forest , Inyo County Sheriff's Office",2019-09-06,2019-11-21,76.0
Butte,58.0,,2019-09-06,2019-09-12,6.0
Lassen,260.0,Bureau of Land Management - Northern CA District,2019-09-06,2019-09-11,5.0
Siskiyou,1872.0,Klamath National Forest,2019-09-07,,
Siskiyou,227.0,Klamath National Forest,2019-09-07,2019-09-26,19.0
Trinity,280.0,Shasta-Trinity National Forest,2019-09-07,2019-09-12,5.0
Lake,53.0,CAL FIRE Sonoma Lake Napa Unit,2019-09-07,2019-09-08,1.0
Butte,496.0,CAL FIRE Butte County Fire ,2019-09-07,2019-09-13,6.0
Siskiyou,15.0,CAL FIRE Siskiyou unit,2019-09-07,2019-09-10,3.0
Riverside,250.0,Riverside City Fire Department,2019-09-07,2019-09-08,1.0
Santa Barbara,200.0,Santa Barbara County Fire ,2019-09-09,2019-09-14,5.0
Riverside,10.0,,2019-09-10,2019-09-10,0.0
Stanislaus,190.0,,2019-09-11,,
Riverside,34.0,,2019-09-12,,
Stanislaus,11.0,,2019-09-13,2019-09-13,0.0
Riverside,520.0,"CAL FIRE RRU (Riverside County Fire), Murrieta Fire Protection District, Riverside City FD, Riverside County Sheriff’s Office",2019-09-14,,
Siskiyou,91.0,Klamath National Forest,2019-09-15,,
Riverside,167.0,San Bernardino National Forest,2019-09-15,2019-09-22,7.0
Placer,604.0,"Sacramento Metro Fire Department, Roseville City Fire Department, Placer County Fire, South Placer Fire, Penryn Fire",2019-09-20,,
Santa Clara,128.0,,2019-09-21,2019-09-24,3.0
San Luis Obispo,220.0,Los Padres National Forest,2019-09-21,2019-09-27,6.0
Riverside,98.0,CAL FIRE / Riverside County Fire,2019-09-21,2019-09-22,1.0
Calaveras,67.0,,2019-09-22,,
Tuolumne,83.0,,2019-09-23,2019-09-24,1.0
Shasta,16.0,,2019-09-24,2019-09-24,0.0
San Diego,200.0,,2019-09-24,,
Amador,10.0,,2019-09-25,2019-09-25,0.0
San Diego,52.0,Lakeside Fire Protection District ,2019-09-25,2019-09-25,0.0
Solano,30.0,City of Vallejo Fire Department,2019-09-26,,
Butte,300.0,,2019-09-28,2019-09-28,0.0
El Dorado,22.0,Amador Eldorado Unit,2019-09-29,2019-09-29,0.0
Riverside,19.0,,2019-09-30,2019-09-30,0.0
Fresno,25.0,,2019-09-30,,
San Luis Obispo,52.0,Los Padres National Forest ,2019-10-01,,
Stanislaus,18.0,,2019-10-03,2019-10-04,1.0
Glenn,63.0,,2019-10-04,2019-10-03,-1.0
Mendocino,10.0,,2019-10-04,,
Mariposa,5563.0,Mariposa County Sheriff’s Office -- California Highway Patrol -- CALTRANS -- California Department of Corrections and Rehabilitation -- U.S. Forest Service -- Bureau of Land Management -- American Red Cross,2019-10-06,,
Napa,526.0,,2019-10-06,2019-10-07,1.0
Santa Clara,29.0,,2019-10-07,2019-10-07,0.0
Tehama,11.0,,2019-10-07,2019-10-07,0.0
Alameda,12.0,,2019-10-08,2019-10-08,0.0
"Monterey, San Luis Obispo",289.0,,2019-10-09,2019-10-11,2.0
Tehama,68.0,,2019-10-09,2019-10-09,0.0
Tehama,10.0,,2019-10-09,2019-10-08,-1.0
Contra Costa,40.0,,2019-10-10,2019-10-10,0.0
Riverside,9.0,CAL FIRE / Riverside County Fire,2019-10-10,2019-10-10,0.0
Riverside,350.0,CAL FIRE / Riverside County Fire ,2019-10-10,2019-10-13,3.0
Riverside,1011.0,"CAL FIRE/Riverside County Fire Department, City of Calimesa , City of Yucaipa",2019-10-10,,
Shasta,42.0,,2019-10-10,2019-10-10,0.0
Riverside,75.0,CAL FIRE/Riverside County Fire Department,2019-10-10,2019-10-12,2.0
Ventura,91.0,Angeles National Forest,2019-10-10,,
Los Angeles,8799.0,"Los Angeles City Fire Department,  Cal Fire, LA Emergency Management Department (EMD), LA Department of Recreation and Parks (RAP), LA Department of Water and Power (DWP), SoCal Gas, California Highway Patrol (CHP), LA County Public Health Department, LA City Department of Animal Regulation, American Red Cross, LA Public Works, Southern California Edison, LA County Public Works Flood Control, Los Angeles Department of Transportation and MySafe:LA, Los Angeles County Fire Department , Angeles National Forest",2019-10-10,2019-10-31,21.0
San Luis Obispo,30.0,,2019-10-11,2019-10-11,0.0
El Dorado,3435.0,USFS El Dorado National Forest,2019-10-11,,
Ventura,200.0,,2019-10-11,2019-10-12,1.0
Lassen,55.0,,2019-10-13,2019-10-16,3.0
Riverside,75.0,Bureau of Indian Affairs,2019-10-14,2019-10-16,2.0
Contra Costa,15.0,,2019-10-15,,
San Diego,10.0,San Diego City Fire Department ,2019-10-15,2019-10-16,1.0
Santa Barbara,420.0,Santa Barbara County Fire,2019-10-17,2019-10-21,4.0
Lake,25.0,,2019-10-17,,
Fresno,137.0,,2019-10-18,2019-10-19,1.0
San Bernardino,11.0,,2019-10-21,2019-10-22,1.0
Los Angeles,42.0,Los Angeles Fire Department ,2019-10-21,2019-10-31,10.0
San Diego,,"CAL FIRE San Diego, Camp Pendleton Marine Base",2019-10-22,,
Sonoma,77758.0,"Cooperating Agencies: Cooperating Agencies: Geyserville Fire Protection District, Numerous Sonoma County Fire Agencies, CDCR, Cal OES, CHP, CCC, Sonoma County Sheriff’s Department, BIA, BLM, California National Guard.",2019-10-23,2019-11-06,14.0
San Bernardino,145.0,"San Bernardino National Forest, San Bernardino County Fire",2019-10-24,,
Marin,67.0,Marin County Fire,2019-10-24,,
Butte,80.0,CALFIRE/Butte County Fire ,2019-10-24,2019-10-24,0.0
Los Angeles,4615.0,Los Angeles County Fire Department ,2019-10-24,,
San Mateo,62.0,CAL FIRE San Mateo- Santa Cruz Unit,2019-10-24,2019-10-27,3.0
Alameda,35.0,CAL FIRE Santa Clara Unit,2019-10-24,2019-10-27,3.0
San Diego,97.0,,2019-10-25,2019-10-28,3.0
San Diego,37.0,,2019-10-25,2019-10-27,2.0
Tehama,605.0,,2019-10-27,2019-10-28,1.0
Contra Costa,200.0,,2019-10-27,2019-10-28,1.0
Contra Costa,150.0,"Santa Clara Unit, Contra Costa Fire",2019-10-27,2019-10-28,1.0
Solano,140.0,Vallejo City Fire,2019-10-27,2019-10-28,1.0
Mendocino,703.0,CAL FIRE Mendocino Unit,2019-10-27,2019-11-03,7.0
Contra Costa,50.0,,2019-10-27,2019-10-28,1.0
Los Angeles,745.0, Los Angeles Fire Department,2019-10-28,2019-11-05,8.0
Ventura,1806.0,"Ventura County Emergency, Ventura County Fire Department",2019-10-30,2019-11-02,3.0
Riverside,494.0,CAL FIRE: Riverside County Fire Department ,2019-10-30,2019-11-02,3.0
Riverside,328.0, CAL FIRE Riverside County Fire Department,2019-10-31,2019-11-03,3.0
San Diego,50.0,,2019-10-31,,
San Bernardino,200.0,"San Bernardino County Fire Department , San Bernardino National Forest Service ",2019-10-31,2019-11-05,5.0
Ventura,9999.0,"Venture County Fire Department, Cooperating Agencies: Ventura County OES, Ventura County Animal Services, CHP, California Department of Corrections and Rehabilitation, Cal Resources Corporation, So Cal Gas, United Water, So Cal Edison, California Conservation Corps ",2019-10-31,2019-11-06,6.0
Riverside,19.0,CAL FIRE Riverside County Fire Department ,2019-11-01,2019-11-01,0.0
Tehama,2534.0,"Cooperating Agencies: California Department of Corrections, Tehama County Sheriffs Department, Bureau of Land Management, Tehama County Fire Dept. El Camino Co. 9, Mendocino National Forest, CHP, California Office of Emergency Services, Tehama County Public Works",2019-11-03,2019-11-14,11.0
Lake,75.0,,2019-11-05,2019-11-06,1.0
Placer,355.0,,2019-11-25,,
Yolo,,,2019-11-25,,
Santa Barbara,3126.0,"Santa Barbara County Fire Department, CAL FIRE San Luis Obispo Unit",2019-11-25,2019-12-14,19.0
Humboldt,15.0,,2020-02-15,,
Sierra,102.0,,2020-02-17,2020-02-20,3.0
Tehama,75.0,,2020-02-23,2020-02-24,1.0
Lassen,57.0,Bureau of Land Management,2020-02-23,2020-02-23,0.0
"Glenn, Mendocino",211.0,Mendocino National Forest ,2020-02-25,2020-03-03,7.0
Glenn,154.0,,2020-03-02,2020-03-05,3.0
Riverside,180.0,CAL FIRE/ Riverside County Fire Department,2020-03-03,,
Yuba,,Tahoe National Forest ,2020-03-03,,
Riverside,20.0,,2020-03-06,,
Imperial,275.0,Imperial County Fire Departmant,2020-04-04,2020-04-12,8.0
Tehama,26.0,,2020-04-23,2020-04-24,1.0
Trinity,55.0,,2020-04-25,,
Contra Costa,47.0,Contra Costa Fire Protection District,2020-04-27,2020-04-27,0.0
Kings,2060.0,Kings County Fire Department,2020-05-03,2020-05-03,0.0
Santa Barbara,156.0,Santa Barbara County Fire Department,2020-05-07,2020-05-09,2.0
Butte,17.0,CAL FIRE/Butte County Fire,2020-05-08,2020-05-08,0.0
Riverside,20.0,CAL FIRE / Riverside County Fire ,2020-05-18,2020-05-18,0.0
Madera,152.0,,2020-05-21,,
Napa,20.0,,2020-05-22,2020-05-23,1.0
San Luis Obispo,5000.0,Department of Defense,2020-05-27,2020-05-28,1.0
Riverside,60.0,,2020-05-28,2020-05-28,0.0
Contra Costa,60.0,,2020-05-30,,
Santa Barbara,1395.0,Channel Islands National Park,2020-05-31,,
Madera,237.0,,2020-06-01,,
Placer,650.0,,2020-06-01,,
Mendocino,10.0,,2020-06-01,,
Lassen,37.0,,2020-06-02,2020-06-02,0.0
Riverside,129.0,,2020-06-02,2020-06-07,5.0
Solano,300.0,,2020-06-03,2020-06-04,1.0
Santa Clara,19.0,,2020-06-04,,
Shasta,15.0,,2020-06-04,2020-06-04,0.0
Santa Clara,126.0,City of San Jose,2020-06-04,2020-06-07,3.0
Placer,39.0,,2020-06-05,2020-06-05,0.0
Sonoma,141.0,,2020-06-05,2020-06-06,1.0
Solano,79.0,Cordelia Fire Department,2020-06-05,2020-06-05,0.0
Sonoma,107.0,,2020-06-06,2020-06-08,2.0
Solano,1837.0,"Cooperating Agencies: Vacaville City FD, Vacaville FPD, Montezuma FPD, Vallejo, Suisun City FD, Suisun FPD, Fairfield FP, Dixon FD, CDCR Vacaville, Cordelia FPD, Madison FPD, Winters FD Strike teams from: Contra Costa County, Marin County, San Francisco County",2020-06-06,2020-06-10,4.0
Contra Costa,100.0,,2020-06-06,2020-06-07,1.0
Monterey,211.0,,2020-06-07,,
Mariposa,85.0,,2020-06-07,2020-06-10,3.0
Stanislaus,80.0,,2020-06-08,2020-06-08,0.0
Riverside,27.0,CAL FIRE / Riverside County Fire ,2020-06-08,2020-06-09,1.0
Monterey,230.0,,2020-06-08,2020-06-09,1.0
Riverside,100.0,Corona Fire Department,2020-06-08,2020-06-09,1.0
Riverside,20.0,,2020-06-08,2020-06-08,0.0
El Dorado,29.0,,2020-06-09,,
Mendocino,151.0,"Cooperating Agencies: CAL FIRE, Anderson Valley Fire Department and Hopland Fire Protection District",2020-06-09,2020-06-10,1.0
San Diego,1100.0,,2020-06-09,2020-06-12,3.0
Ventura,289.0,Ventura County Fire Department,2020-06-10,2020-06-12,2.0
San Luis Obispo,1672.0,,2020-06-10,2020-06-11,1.0
Ventura,803.0,Ventura County Fire Department,2020-06-10,2020-06-17,7.0
San Diego,100.0,"Cooperating Agencies: SDSO, U.S. Forest Service ",2020-06-11,2020-06-14,3.0
San Diego,90.0,,2020-06-11,2020-06-13,2.0
Placer,40.0,,2020-06-11,2020-06-11,0.0
Sacramento,5042.0,"Sac Metro, Folsom FD, Cosumnes FD, USFS, Rescue FD, El Dorado Hills FPD, Cameron Park FD, Wilton FD, Bureau of Indian Affairs, Sac Sheriff’s Office, CHP, Rancho Cordova Police, Folsom Police, PG&E, SMUD",2020-06-12,2020-06-17,5.0
Fresno,533.0,,2020-06-12,2020-07-08,26.0
Mariposa,191.0,,2020-06-13,2020-06-16,3.0
Riverside,10.0,,2020-06-13,2020-06-13,0.0
Mendocino,34.0,,2020-06-13,2020-06-14,1.0
Santa Barbara,696.0,Santa Barbara County Fire,2020-06-14,,
San Luis Obispo,445.0,,2020-06-15,2020-06-19,4.0
San Benito,895.0,,2020-06-16,2020-06-21,5.0
San Luis Obispo,18.0,,2020-06-16,2020-06-17,1.0
Calaveras,1455.0,"Cooperating Agencies: Calaveras County Sheriffs Office, Altaville-Melones Fire, Calaveras Conlsolidated Fire, Central Calaveras Fire, San Andreas Fire, Copperopolis Fire, Stanislaus County Fire, San Joaquin County Fire, Modesto Fire, Jackson Fire, Linden-Peters Fire, Manteca Fire, Amador Fire, Lathrop Fire, Liberty Fire, Yocha Dehe Fire, UC Davis Fire, West Sacramento Fire, Sacramento Metro Fire, Sacramento City Fire, Consumnes Fire, Folsom Fire, LA County Fire, CAL OES, CA Dept. of Corrections ",2020-06-16,2020-06-20,4.0
Butte,95.0,Butte County Sheriff's Office,2020-06-17,2020-06-17,0.0
San Joaquin,89.0,"Cooperating Agencies: Buena Vista Rancheria Fire Dept., Clements Rural Fire Protection District., Liberty Rural County Fire Protection District, U.S. Forest Service, CHP, San Joaquin Sheriff’s Office, PG&E",2020-06-17,2020-06-18,1.0
Tehama,68.0,,2020-06-17,,
Monterey,83.0,Los Padres National Forest ,2020-06-17,2020-06-22,5.0
Kern,165.0,Kern County Fire Department,2020-06-17,2020-06-18,1.0
Placer,110.0,,2020-06-18,2020-06-18,0.0
Tulare,130.0,,2020-06-18,2020-06-22,4.0
